add_L4&ocloud-clb-tgw-apdoss.hongkong.tce.futunn.com&TCP&172.23.26.105&80&[{'rs_port': '80', 'rs_ip': '172.23.54.17'}, {'rs_port': '80', 'rs_ip': '172.23.54.38'}, {'rs_port': '80', 'rs_ip': '172.23.54.39'}, {'rs_port': '80', 'rs_ip': '172.23.54.24'}, {'rs_port': '80', 'rs_ip': '172.23.54.27'}]
add_L4&ocloud-clb-tgw-ld-monitor.hongkong.tce.futunn.com&TCP&172.23.26.105&6666&[{'rs_port': '6666', 'rs_ip': '172.23.54.17'}, {'rs_port': '6666', 'rs_ip': '172.23.54.38'}, {'rs_port': '6666', 'rs_ip': '172.23.54.39'}, {'rs_port': '6666', 'rs_ip': '172.23.54.24'}, {'rs_port': '6666', 'rs_ip': '172.23.54.27'}]
add_L4&ocloud-clb-tgw-master-l4.hongkong.tce.futunn.com&TCP&172.23.26.105&10001&[{'rs_port': '10001', 'rs_ip': '172.23.54.17'}, {'rs_port': '10001', 'rs_ip': '172.23.54.39'}]
add_L4&ocloud-clb-tgw-master-l7.hongkong.tce.futunn.com&TCP&172.23.26.105&10000&[{'rs_port': '10000', 'rs_ip': '172.23.54.17'}, {'rs_port': '10000', 'rs_ip': '172.23.54.39'}]
add_L4&ocloud-clb-tgw-master-nat64.hongkong.tce.futunn.com&TCP&172.23.26.106&10001&[{'rs_port': '10001', 'rs_ip': '172.23.54.38'}, {'rs_port': '10001', 'rs_ip': '172.23.54.24'}]
add_L7&8666.ocloud-clb-tgw-py.hongkong.tce.futunn.com&8666.ocloud-clb-tgw-py.hongkong.tce.futunn.com&172.23.26.104&80&[{'rs_port': '80', 'rs_ip': '172.23.54.17'}, {'rs_port': '80', 'rs_ip': '172.23.54.38'}, {'rs_port': '80', 'rs_ip': '172.23.54.39'}, {'rs_port': '80', 'rs_ip': '172.23.54.24'}, {'rs_port': '80', 'rs_ip': '172.23.54.27'}]
add_L7&ocloud-clb-tgw-py.hongkong.tce.futunn.com&ocloud-clb-tgw-py.hongkong.tce.futunn.com&172.23.26.104&80&[{'rs_port': '80', 'rs_ip': '172.23.54.17'}, {'rs_port': '80', 'rs_ip': '172.23.54.38'}, {'rs_port': '80', 'rs_ip': '172.23.54.39'}, {'rs_port': '80', 'rs_ip': '172.23.54.24'}, {'rs_port': '80', 'rs_ip': '172.23.54.27'}]
add_L4&ckv-amp.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_amp_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_amp_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-api2.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '12002', 'rs_ip': '172.23.54.13'}, {'rs_port': '12002', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-barad.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_barad_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_barad_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-bmppro-document.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_bmppro_document_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_bmppro_document_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-cas.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_cas_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_cas_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-cbs-monitor.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_cbs_monitor_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_cbs_monitor_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-cvm-opcvm.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_cvm_opcvm_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_cvm_opcvm_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-opargus2.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_opargus2_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_opargus2_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-ops-cmdb.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_ops_cmdb_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_ops_cmdb_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-osppro-adp.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_osppro_adp_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_osppro_adp_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-sig.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_sig_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_sig_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-yunjing.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_yunjing_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_yunjing_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&ckv-zhiyun.hongkong.tce.futunn.com&TCP&172.23.26.64&12002&[{'rs_port': '${Z1248_VIR_COMP_ckv_zhiyun_node_port_0}', 'rs_ip': '172.23.54.13'}, {'rs_port': '${Z1248_VIR_COMP_ckv_zhiyun_node_port_1}', 'rs_ip': '172.23.54.20'}]
add_L4&es-barad.hongkong.tce.futunn.com&TCP&172.23.26.80&9200&[{'rs_port': '9200', 'rs_ip': '172.23.54.25'}, {'rs_port': '9200', 'rs_ip': '172.23.54.26'}, {'rs_port': '9200', 'rs_ip': '172.23.54.29'}]
add_L4&es-bmppro-document.tce.futunn.com&TCP&172.23.26.80&9200&[{'rs_port': '${Z1248_VIR_COMP_es_bmppro_document_node_port_0}', 'rs_ip': '172.23.54.25'}, {'rs_port': '${Z1248_VIR_COMP_es_bmppro_document_node_port_1}', 'rs_ip': '172.23.54.26'}, {'rs_port': '${Z1248_VIR_COMP_es_bmppro_document_node_port_2}', 'rs_ip': '172.23.54.29'}]
add_L4&es-cbs.hongkong.tce.futunn.com&TCP&&12001&[{'rs_port': '9200', 'rs_ip': '172.23.54.71'}, {'rs_port': '9200', 'rs_ip': '172.23.54.74'}, {'rs_port': '9200', 'rs_ip': '172.23.54.31'}]
add_L4&es-cvm.hongkong.tce.futunn.com&TCP&&12011&[{'rs_port': '9201', 'rs_ip': '172.23.54.71'}, {'rs_port': '9201', 'rs_ip': '172.23.54.74'}, {'rs_port': '9201', 'rs_ip': '172.23.54.31'}]
add_L4&es-amp.tce.futunn.com&TCP&&12006&[{'rs_port': '9200', 'rs_ip': '172.23.54.71'}, {'rs_port': '9200', 'rs_ip': '172.23.54.74'}, {'rs_port': '9200', 'rs_ip': '172.23.54.31'}]
add_L4&es-opargus2.hongkong.tce.futunn.com&TCP&&12005&[{'rs_port': '9201', 'rs_ip': '172.23.54.71'}, {'rs_port': '9201', 'rs_ip': '172.23.54.74'}, {'rs_port': '9201', 'rs_ip': '172.23.54.31'}]
add_L4&hdfs-1.hdfs.gaia-1.hongkong-pccw.hongkong.tce.futunn.com&TCP&172.23.26.76&9000&[{'rs_port': '9000', 'rs_ip': '172.23.54.15'}, {'rs_port': '9000', 'rs_ip': '172.23.54.16'}]
add_L4&hdfs-2.hdfs.gaia-1.hongkong-pccw.hongkong.tce.futunn.com&TCP&172.23.26.87&9000&[{'rs_port': '9000', 'rs_ip': '172.23.0.13'}, {'rs_port': '9000', 'rs_ip': '172.23.0.14'}]
add_L4&hdfs.hdfs_1&TCP&172.23.26.76&9000&[{'rs_port': '9000', 'rs_ip': '172.23.54.15'}, {'rs_port': '9000', 'rs_ip': '172.23.54.16'}]
add_L4&hdfs.hdfs_2&TCP&1.1.1.1&9000&[{'rs_port': '9000', 'rs_ip': '172.23.0.13'}, {'rs_port': '9000', 'rs_ip': '172.23.0.14'}]
add_L7&imgcache-nginx.hongkong.tce.futunn.com&imgcache-nginx.hongkong.tce.futunn.com&172.23.26.78&80&[{'rs_port': '80', 'rs_ip': '172.23.54.28'}]
